simulacion,objetos,algoritmo,pesos,valores,capacidad,tiempo,memoria_kb,nodos,valor_optimo
27,8,DFS,"[9, 10, 1, 12, 1, 2, 1, 6]","[8, 8, 3, 21, 8, 29, 28, 3]",16,0.00017419998766854405,0.2578125,215,86
28,8,BFS,"[9, 5, 8, 9, 12, 15, 10, 4]","[8, 22, 7, 5, 30, 19, 16, 26]",28,0.0001517999917268753,2.90625,204,78
28,8,DFS,"[9, 5, 8, 9, 12, 15, 10, 4]","[8, 22, 7, 5, 30, 19, 16, 26]",28,0.00015490001533180475,0.2265625,204,78
29,8,BFS,"[8, 7, 2, 11, 6, 7, 14, 1]","[26, 7, 4, 14, 14, 15, 24, 22]",22,0.00019950000569224358,3.5234375,217,77
29,8,DFS,"[8, 7, 2, 11, 6, 7, 14, 1]","[26, 7, 4, 14, 14, 15, 24, 22]",22,0.00017499999376013875,0.234375,217,77
30,8,BFS,"[11, 2, 7, 6, 14, 4, 4, 8]","[21, 2, 24, 26, 4, 7, 18, 5]",22,0.0001753999968059361,3.875,220,75
30,8,DFS,"[11, 2, 7, 6, 14, 4, 4, 8]","[21, 2, 24, 26, 4, 7, 18, 5]",22,0.00017140002455562353,0.234375,220,75
31,8,BFS,"[7, 5, 4, 15, 8, 14, 9, 1]","[6, 15, 28, 3, 26, 28, 4, 21]",25,0.00020619999850168824,3.5546875,206,96
31,8,DFS,"[7, 5, 4, 15, 8, 14, 9, 1]","[6, 15, 28, 3, 26, 28, 4, 21]",25,0.00021139997988939285,0.28125,206,96
32,8,BFS,"[9, 1, 15, 14, 3, 8, 4, 7]","[27, 3, 25, 8, 14, 16, 28, 29]",24,0.00019260001135990024,4.0859375,213,101
32,8,DFS,"[9, 1, 15, 14, 3, 8, 4, 7]","[27, 3, 25, 8, 14, 16, 28, 29]",24,0.0001713000237941742,0.2578125,213,101
33,8,BFS,"[1, 7, 7, 15, 13, 5, 12, 13]","[6, 1, 9, 26, 15, 14, 24, 18]",29,0.00018480001017451286,3.9375,246,56
33,8,DFS,"[1, 7, 7, 15, 13, 5, 12, 13]","[6, 1, 9, 26, 15, 14, 24, 18]",29,0.0001800000318326056,0.234375,246,56
34,8,BFS,"[11, 8, 4, 4, 10, 9, 12, 1]","[23, 5, 10, 2, 24, 2, 11, 2]",23,0.0001542000100016594,3.0703125,208,49
34,8,DFS,"[11, 8, 4, 4, 10, 9, 12, 1]","[23, 5, 10, 2, 24, 2, 11, 2]",23,0.00015899998834356666,0.21875,208,49
35,8,BFS,"[10, 9, 14, 3, 9, 14, 2, 2]","[16, 30, 17, 2, 3, 6, 20, 22]",25,0.00016909994883462787,4.0625,199,88
35,8,DFS,"[10, 9, 14, 3, 9, 14, 2, 2]","[16, 30, 17, 2, 3, 6, 20, 22]",25,0.00016170000890269876,0.25,199,88
36,8,BFS,"[14, 7, 15, 4, 10, 10, 7, 10]","[8, 4, 19, 19, 2, 3, 22, 19]",30,0.00015380000695586205,2.6484375,203,64
36,8,DFS,"[14, 7, 15, 4, 10, 10, 7, 10]","[8, 4, 19, 19, 2, 3, 22, 19]",30,0.00014819996431469917,0.1953125,203,64
37,8,BFS,"[9, 15, 4, 12, 4, 7, 11, 5]","[11, 9, 22, 11, 9, 5, 21, 15]",26,0.00015540001913905144,3.046875,203,67
37,8,DFS,"[9, 15, 4, 12, 4, 7, 11, 5]","[11, 9, 22, 11, 9, 5, 21, 15]",26,0.0001553000183776021,0.234375,203,67
38,8,BFS,"[6, 13, 2, 8, 10, 2, 4, 5]","[30, 30, 1, 20, 4, 18, 17, 5]",20,0.00017300003673881292,4.5234375,216,85
38,8,DFS,"[6, 13, 2, 8, 10, 2, 4, 5]","[30, 30, 1, 20, 4, 18, 17, 5]",20,0.00017180002760142088,0.25,216,85
