simulacion,algoritmo,inicio,mezcla,nodos,movimientos,profundidad,tiempo,memoria_kb,limite_alcanzado
95,BFS,"(4, 1, 2, 7, 5, 3, 0, 8, 6)",6,58,6,6,0.0004528999561443925,16.48046875,False
95,DFS,"(4, 1, 2, 7, 5, 3, 0, 8, 6)",6,50000,,,0.4412336999666877,17359.04296875,True
96,BFS,"(4, 1, 2, 7, 5, 3, 0, 8, 6)",6,58,6,6,0.0004361000028438866,16.48046875,False
96,DFS,"(4, 1, 2, 7, 5, 3, 0, 8, 6)",6,50000,,,0.4512327999691479,17359.04296875,True
97,BFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,71,6,6,0.0011614999966695905,16.48046875,False
97,DFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,18224,17644,17644,0.16616680001607165,6880.20703125,False
98,BFS,"(1, 2, 3, 5, 7, 6, 4, 8, 0)",6,79,6,6,0.0005594000103883445,16.48046875,False
98,DFS,"(1, 2, 3, 5, 7, 6, 4, 8, 0)",6,36606,34376,34376,0.32084160001249984,11673.19140625,False
99,BFS,"(1, 3, 5, 4, 0, 2, 7, 8, 6)",6,120,6,6,0.0010374999837949872,23.35546875,False
99,DFS,"(1, 3, 5, 4, 0, 2, 7, 8, 6)",6,50000,,,0.4442325999843888,17358.38671875,True
100,BFS,"(2, 3, 0, 1, 5, 6, 4, 7, 8)",6,84,6,6,0.0006646999972872436,16.48046875,False
100,DFS,"(2, 3, 0, 1, 5, 6, 4, 7, 8)",6,31,30,30,0.00020920002134516835,6.02734375,False
